Title,ReplyIndex,CrawlingTime,Content,Like,Hate
태풍 때 고깃집서 '법카'…인천공항 사장 해임 건의안[앵커] 국토교통부가 구본환 인천공항 사장을 해임해달라고 공공기관 운영위원회에 건의했습니다. 저희가 입수한 해임 건의안…,1,2020.9.16 0:34,맥주집에서 3000만원 쓴 윤미향도 문제 없다는데 뭐 이정도 가지고 난리여~~,527,12
태풍 때 고깃집서 '법카'…인천공항 사장 해임 건의안[앵커] 국토교통부가 구본환 인천공항 사장을 해임해달라고 공공기관 운영위원회에 건의했습니다. 저희가 입수한 해임 건의안…,2,2020.9.16 0:34,집근처 고깃집이면 가족 외식?? 국민 세금 받는 하급 공무원을 .. 자기 아들 불법 병가 로비에 사용한 미세스 추나 도찐개찐이구먼... 옛날도 아니고 최근에도 저런 일이 벌어지는 것이 .. 무섭다....,338,41
태풍 때 고깃집서 '법카'…인천공항 사장 해임 건의안[앵커] 국토교통부가 구본환 인천공항 사장을 해임해달라고 공공기관 운영위원회에 건의했습니다. 저희가 입수한 해임 건의안…,3,2020.9.16 0:34,인국공 사태에 대한 책임을 고깃집으로 묻는 문재앙 범죄집단,282,43
태풍 때 고깃집서 '법카'…인천공항 사장 해임 건의안[앵커] 국토교통부가 구본환 인천공항 사장을 해임해달라고 공공기관 운영위원회에 건의했습니다. 저희가 입수한 해임 건의안…,4,2020.9.16 0:34,토사구팽...ㅋㅋㅋㅋ,133,5
태풍 때 고깃집서 '법카'…인천공항 사장 해임 건의안[앵커] 국토교통부가 구본환 인천공항 사장을 해임해달라고 공공기관 운영위원회에 건의했습니다. 저희가 입수한 해임 건의안…,5,2020.9.16 0:34,꼬리자르기,54,2
태풍 때 고깃집서 '법카'…인천공항 사장 해임 건의안[앵커] 국토교통부가 구본환 인천공항 사장을 해임해달라고 공공기관 운영위원회에 건의했습니다. 저희가 입수한 해임 건의안…,6,2020.9.16 0:34,청와대 너무 대놓고 꼬리 자르기네요 ㅋㅋㅋ좀 그럴듯한 해임사유를 써야지 코메디네 ㅋㅋ,38,2
태풍 때 고깃집서 '법카'…인천공항 사장 해임 건의안[앵커] 국토교통부가 구본환 인천공항 사장을 해임해달라고 공공기관 운영위원회에 건의했습니다. 저희가 입수한 해임 건의안…,7,2020.9.16 0:34,생긴 것으로 봐서는 일단 홍애로 보이고... 공무원을 문재인이 낙하산 태워 주었는데...이제는 더 확실한 패거리 갔다 놔야겠다는 생각이 들었는지...? 국토부가 작업 했네..사장이면 인사도 운영도 일단 전권이 있는거지..? 국토부가..?국토부 장관이 회장이구만.... 낙하산을 언늠 주나 보자...,47,15
태풍 때 고깃집서 '법카'…인천공항 사장 해임 건의안[앵커] 국토교통부가 구본환 인천공항 사장을 해임해달라고 공공기관 운영위원회에 건의했습니다. 저희가 입수한 해임 건의안…,8,2020.9.16 0:34,세월호 터진날 고급 한정식집에서 저녁 먹던 사람은 대통령 되어 있는데 참나 ㄷㄷ,28,2
태풍 때 고깃집서 '법카'…인천공항 사장 해임 건의안[앵커] 국토교통부가 구본환 인천공항 사장을 해임해달라고 공공기관 운영위원회에 건의했습니다. 저희가 입수한 해임 건의안…,9,2020.9.16 0:34,코로나로 국민들 죽어나가는데 짜파구리 처먹는 인간도 있는데 뭐,26,2
태풍 때 고깃집서 '법카'…인천공항 사장 해임 건의안[앵커] 국토교통부가 구본환 인천공항 사장을 해임해달라고 공공기관 운영위원회에 건의했습니다. 저희가 입수한 해임 건의안…,10,2020.9.16 0:34,대전 수해때 박장대소한 여당 패거리들은 어떻게 처리 됐나?하는 짓들하고는...,22,1
