,Title,ReplyIndex,CrawlingTime,Content,Like,Hate
0,"[단독] 최태원 회장 장남, SK E&S 신입사원으로 입사21일 재계에 따르면, 최태원 SK그룹 회장의 장남 인근(25)씨가 최근 SK그룹의 에너지 계열사인 SK E&S 전략기획팀에 신입…",1,2020-09-21 23:45,"그래도 노소영의 정신상태가 건강한게 무엇이냐하면, 대부분 외국계컨설팅회사에서 경력세탁후에 부장으로 입사해서 2년만에 나이 30초반에 상무진급하고 40에 대표이사 하는게 트랜드지..GS나 두산봐라..그 많은 떨거지들이 죄다 회사와서 한자리하면서 돌림빵으로 대표이사하는데 그래도 신입사원입사시킨것 자체가 정신이 건전하다는 방증.",4214,134
1,"[단독] 최태원 회장 장남, SK E&S 신입사원으로 입사21일 재계에 따르면, 최태원 SK그룹 회장의 장남 인근(25)씨가 최근 SK그룹의 에너지 계열사인 SK E&S 전략기획팀에 신입…",2,2020-09-21 23:45,드라마처럼 조강지처버린 아버지에게 복수하는 그림을 그려보고싶네,2022,113
2,"[단독] 최태원 회장 장남, SK E&S 신입사원으로 입사21일 재계에 따르면, 최태원 SK그룹 회장의 장남 인근(25)씨가 최근 SK그룹의 에너지 계열사인 SK E&S 전략기획팀에 신입…",3,2020-09-21 23:45,아빠 닮았다 ㆍ김희여ㅇ 첩이 신경좀 쓰이겠다 누구나 본처자식이 더 잘된다 ㆍ노소영도 이혼하지 마라 ㆍ자식들을 봐서 ㆍ이혼하면 노소영 네 자식들이 이혼녀자식 소리 듣는다 ㆍ이혼 하지말고 첩 꽉 누르고 살아라 ㆍ,1748,89
3,"[단독] 최태원 회장 장남, SK E&S 신입사원으로 입사21일 재계에 따르면, 최태원 SK그룹 회장의 장남 인근(25)씨가 최근 SK그룹의 에너지 계열사인 SK E&S 전략기획팀에 신입…",4,2020-09-21 23:45,새로들어온 신입이 미래에 회장이니.. 직장상사나 주변 동료직원들이 대하기 ㅎㄷㄷ 하겠구만 ㅋ;,1323,41
4,"[단독] 최태원 회장 장남, SK E&S 신입사원으로 입사21일 재계에 따르면, 최태원 SK그룹 회장의 장남 인근(25)씨가 최근 SK그룹의 에너지 계열사인 SK E&S 전략기획팀에 신입…",5,2020-09-21 23:45,부모를 잘만나는 것도 운명이고 팔자지 좋을일 많이 하길,1072,47
5,"[단독] 최태원 회장 장남, SK E&S 신입사원으로 입사21일 재계에 따르면, 최태원 SK그룹 회장의 장남 인근(25)씨가 최근 SK그룹의 에너지 계열사인 SK E&S 전략기획팀에 신입…",6,2020-09-21 23:45,많이 성장해서 엄마 한 풀어줘라. 첩이 더 기세등등한 세상 되면 절대 안된다.,619,10
6,"[단독] 최태원 회장 장남, SK E&S 신입사원으로 입사21일 재계에 따르면, 최태원 SK그룹 회장의 장남 인근(25)씨가 최근 SK그룹의 에너지 계열사인 SK E&S 전략기획팀에 신입…",7,2020-09-21 23:45,노소영씨가 아이들 3명을 반듯하게 잘 키워내셨어요. 아들은 브라운대 큰딸은 스탠포드 차녀는 해군장교출신 성실하고 건전한 재벌 자제분들 입니다.,468,10
7,"[단독] 최태원 회장 장남, SK E&S 신입사원으로 입사21일 재계에 따르면, 최태원 SK그룹 회장의 장남 인근(25)씨가 최근 SK그룹의 에너지 계열사인 SK E&S 전략기획팀에 신입…",8,2020-09-21 23:45,그래도 이집은 자식들이 제대로 공부하고 경영수업하네. 최태원 은 별로지만 노소영이 잘했네,437,1
8,"[단독] 최태원 회장 장남, SK E&S 신입사원으로 입사21일 재계에 따르면, 최태원 SK그룹 회장의 장남 인근(25)씨가 최근 SK그룹의 에너지 계열사인 SK E&S 전략기획팀에 신입…",9,2020-09-21 23:45,엄마의 똑똑함을 다 자식들이 닮았네 첩뇬좀 박살 내줘 그래야 사람사는세상이지,355,6
9,"[단독] 최태원 회장 장남, SK E&S 신입사원으로 입사21일 재계에 따르면, 최태원 SK그룹 회장의 장남 인근(25)씨가 최근 SK그룹의 에너지 계열사인 SK E&S 전략기획팀에 신입…",10,2020-09-21 23:45,예전엔 재벌들 승계하는 거 나쁘다고만 막연히 생각했었는데. 요즘 나라꼴 보니 우리나라는 재벌 체제 아니었음 진작 망했을 듯. 국민수준이 여전히 조선시대 구한말에 머물러 있는 사람들이 많아서 누가 나서서 오너쉽 가지고 리드해 줘야 발전하는 나라다. 안그럼 서로 잘되는 꼴 못 봐서 기업을 공중분해시킬 수준임.,310,23
